7,favorite,famous,가장 좋아하는,subject,object,"과목,주제",science,history,과학,My favorite subject is science.,제가 가장 좋아하는 과목은 과학입니다.
7,listen to,look at,~을 듣다,music,art,음악,,,,She is listening to music.,그녀는 음악을 듣고 있습니다.
7,take,bring,"데려가다,가져가다",subway,bus,지하철,station,bus stop,역,I can take you to the subway station.,제가 당신을 지하철 역에 데려다 드릴 수 있습니다.
7,volunteer work,part-time job,자원봉사,library,bookstore,도서관,,,,I do volunteer work at the library every Saturday.,저는 토요일마다 도서관에서 자원봉사를 합니다.
7,nursing home,kindergarten,양로원,last weekend,this weekend,지난 주말,,,,I went to a nursing home with my friend last weekend.,저는 지난 주말에 제 친구와 양로원에 갔습니다.
7,protect,predict,보호하다,mud,sand,진흙,,,,Mud protects them from the sun.,진흙은 햇빛으로부터 그것들을 보호합니다.
7,weather,temperature,날씨,forecast,review,예보,,,,Did you check the weather forecast?,일기 예보 확인하셨나요?
7,vietnam,Taiwan,베트남,wear,take off,"입다, 쓰다",,,,People in Vietnam love wearing the hat.,베트남 사람들은 그 모자를 쓰는 걸 정말 좋아합니다.
7,look,sound,~해 보이다,smell,taste,~한 냄새가 나다,terrible,terrific,끔찍한,The food looked terrible and smelled bad.,그 음식은 끔찍해 보였고 안 좋은 냄새가 났습니다.
7,report,record,보도하다,air pollution,light pollution,대기 오염,,,,I want to report on air pollution.,저는 대기 오염에 대해 보도하고 싶습니다.
7,be going to,be able to,~할 것이다,go hiking,go shopping,등산 가다,next weekend,this weekend,다음 주말,I am going to go hiking with her next weekend. ,저는 다음 주말에 그녀와 함께 등산을 갈 겁니다.
7,take a picture,take a chance,사진을 찍다,in front of,behind,~ 앞에,building,land,건물,We took a picture in front of the building.,우리는 그 건물 앞에서 사진을 찍었습니다.
7,English,India,영어,difficult,different,어려운,think,speak,생각하다,I think English is so difficult.,제 생각에 영어는 정말 어려워요.
7,people,person,사람들,village,country,마을,laugh at,stare at,비웃다,Many people in the village laughed at him.,그 마을에 있는 많은 사람들이 그를 비웃었습니다.
7,decide,define,결심하다,soccer field,court,축구장,sea,lake,바다,We decided to make a soccer field on the sea.,우리는 바다 위에 축구장을 만들기로 결심했습니다.
7,start,store,시작하다,practice,prepare,연습하다,competition,conference,시합,We started to practice hard for the competition.,우리는 그 시합을 위해 열심히 연습하기 시작했습니다.
7,change,chance,변화,temperature,humidity,온도,cause,result,야기하다,Small changes in temperature will cause many problems.,온도의 작은 변화가 많은 문제들을 야기할 것입니다.
7,polar bear,penguin,북극곰,can,may,~할 수 있다,easily,hard,쉽게,Polar bears can't find food easily.,북극곰은 먹이를 쉽게 찾을 수 없습니다.
7,many,some,많은,sink,rise,가라앉다,under,over,~아래에,Many cities sink under water.,많은 도시들이 물 아래로 가라앉습니다.
7,fill,feel,채우다,vegetable,fruit,채소,meat,meal,고기,We fill them with vegetables and meat.,우리는 그것들을 채소와 고기로 채웁니다.
7,could,might,~할 수 있었다,fresh,fishy,신선한,winter,Autumn,겨울,They couldn't get fresh food in winter.,그들은 겨울에 신선한 음식을 얻을 수 없었습니다.
7,taste,smell,~한 맛이 나다,both A and B,either A or B,A 와 B 둘 다,sour,sweet,"신, 시큼한",It tastes both sweet and sour.,그것은 달고 시큼한 맛이 둘 다 납니다.
7,enjoy,avoid,즐기다,basketball,baseball,농구,after school,after lunch,방과 후에,They enjoyed playing basketball after school.,그들은 방과 후에 농구하는 것을 즐겼습니다.
7,should,could,~해야 한다,go home,go to home,집에 가다,on foot,by foot,걸어서,They should go home on foot.,그들은 걸어서 집에 가야만 합니다.
7,run,walk,달리다,faster,fastest,더 빨리,,,,I can run faster than you.,저는 당신보다 더 빨리 달릴 수 있습니다.
7,finish,keep,끝내다,do homework,do laundry,숙제하다,before,after,~전에,I can finish doing my homework before lunch.,저는 점심 전에 제 숙제를 끝낼 수 있습니다.
7,will,must,~일 것이다,hotter,hoter,더 뜨거운,this week,last week,이번 주,Next week will be hotter than this week.,다음 주가 이번 주 보다 더 더울 것입니다.
7,what,how,무엇,think,drink,생각하다,,,,What do you think about it?,당신은 그것에 대해 어떻게 생각하시나요?
7,how,what,어떻게,City Hall,community center,시청,,,,How can I get to the City Hall?,제가 어떻게 시청에 갈 수 있나요?
7,where,when,어디,nearest,nearer,가장 가까운,station,bus stop,역,Where is the nearest subway station?,가장 가까운 지하철 역이 어디인가요?
7,When,where,언제,begin,finish,시작하다,next,last,다음,When does the next show begin?,다음 쇼는 언제 시작하나요?
7,smile,praise,미소,happy,sad,행복한,always,sometimes,항상,Her smile always makes me happy.,그녀의 미소는 항상 저를 행복하게 합니다.
7,sometimes,always,가끔씩,by bus,by subway,버스로,,,,I sometimes go to school by bus.,저는 가끔씩 버스를 타고 학교에 갑니다.
7,usually,sometimes,"보통, 주로",breakfast,lunch,아침식사,bread,fruit,빵,I usually have some bread for breakfast.,저는 주로 아침식사로 빵을 먹습니다.
7,believe,suspect,믿다,eye,ear,눈,,,,He could not believe his eyes.,그는 자신의 눈을 믿을 수가 없었습니다.
7,sell,buy,팔다,special,normal,특별한,gift,goods,선물,They sell special gifts.,그들은 특별한 선물을 팝니다.
7,bought,buyed,샀다,present,box,선물,parents,friends,부모님,I bought some present for my parents.,저는 저희 부모님을 위해 선물을 샀습니다.
7,drew,drawed,그렸다,beautiful,special,아름다운,picture,letter,"그림, 사진",She drew beautiful pictures on it.,그녀는 그 위에 아름다운 그림을 그렸습니다.
7,look for,look at,~을 찾아보다,brother,sister,남자 형제,,,,I am looking for a gift for my brother.,저는 제 남동생을 위한 선물을 찾고 있습니다.
7,sister,brother,여자 형제,flea market,job market,벼룩 시장,tomorrow,today,내일,My sister and I will sell things at the flea market tomorrow.,제 여동생과 전 내일 벼룩 시장에서 물건을 팔 거예요.
7,donate,volunteer,기부하다,hungry,full,배고픈,children,adults,어린이들,We will donate this money for hungry children.,우리는 배고픈 어린이들을 위해 이 돈을 기부할 거예요.
7,why,how,왜,use,make,사용하다,machine,tool,기계,Why do you use this old machine?,왜 당신은 이 오래된 기계를 사용하시나요?
7,earth,moon,지구,around,behind,주위에,sun,star,태양,Earth goes around the sun.,지구는 태양 주위를 돕니다.
7,bookstore,library,서점,across from,next to,맞은 편에,bank,museum,은행,The bookstore is across from the bank.,그 서점은 은행 맞은 편에 있습니다.
7,behind,beside,~ 뒤에,girl,boy,소녀,,,,The girl behind the bench is my sister.,벤치 뒤에 있는 소녀는 제 여동생입니다.
7,in front of,behind,~ 앞에,building,street,건물,take place,take care of,발생하다,The accident took place in front of the building.,그 사고는 그 건물 앞에서 발생했습니다.
7,want,went,원하다,teacher,student,선생님,in the future,in the past,미래에,I want to be a teacher in the future.,저는 미래에 선생님이 되고 싶어요.
7,try,give up,노력하다,cry,sad,울다,,,,She tried not to cry in front of them.,그녀는 그들 앞에서 울지 않으려고 노력했습니다.
7,put,cut,"두다, 놓다",dish,cup,접시,table,chair,테이블,She put the dishes on the table.,그녀는 테이블에 접시들을 놓았습니다.
7,cold,hot,추운,last night,tonight,지난 밤,,,,It was really cold last night.,지난 밤에는 정말 추웠습니다.
7,live,move,살다,same,different,같은,,,,We live in the same building.,우리는 같은 건물에 삽니다.
7,change,charge,바꾸다,mind,body,마음,,,,You can't change his mind.,당신은 그의 마음을 바꿀 수 없습니다.
7,keep,change,유지하다,water,air,물,clean,dirty,깨끗한,We should keep water clean.,우리는 물을 깨끗한 상태로 유지해야 합니다.
7,saw,seed,보았다,famous,favorite,유명한,downtown,country,"도심, 시내",I saw a famous actor in downtown yesterday.,저는 어제 시내에서 유명한 배우를 보았습니다.
7,get up,get out,일어나다,early,late,일찍,habit,job,습관,Getting up early is a good habit.,일찍 일어나는 것은 좋은 습관이다.
7,sat,sitted,앉았다,mirror,window,거울,,,,She sat in front of the mirror.,그녀는 거울 앞에 앉았습니다.
7,how often,how much,얼마나 자주,exercise,practice,운동하다,,,,How often do you exercise?,얼마나 자주 운동을 하시나요?
7,found,finded,발견했다,interesting,boring,흥미로운,fact,fiction,사실,I found an interesting fact at school.,학교에서 흥미로운 사실 하나를 알게 되었습니다.
7,lost,losed,잃어버렸다,watch,clock,손목시계,,,,I lost my watch yesterday.,저는 어제 제 손목시계를 잃어버렸습니다.
7,kind,rude,친절한,neighbor,customer,이웃,,,,My neighbors are always kind to me.,저희 이웃들은 항상 제게 친절하십니다.
7,lie,lay,눕다,grass,glass,"풀, 잔디",,,,They are lying on the grass now.,그들은 지금 잔디밭에 누워 있는 중입니다.
7,company,factory,회사,develop,decrease,개발하다,,,,The company is developing a new car now.,그 회사는 지금 새로운 자동차를 개발 중입니다.
